First Name,Last Name 1,Last Name 2,Age,DNI,Letter
Joanne,Barron,Hancock,64,11939328,V
Teresa,King,Rivera,60,78956681,E
Jason,Anderson,Bates,63,24003849,V
Tyler,Tanner,Mathis,19,37092843,E
Daniel,Lindsey,Lloyd,23,80377318,E
Gary,Hart,Hill,51,19356045,V
Nicole,Thomas,Cook,48,10417127,V
Crystal,Johnson,Mclaughlin,31,74558869,V
Jade,Powers,Warren,22,64406259,E
Daniel,Anderson,Webb,58,79774451,V
Blake,Francis,Snyder,45,32705940,V
Marie,Bradshaw,Garrett,45,58553969,V
Jennifer,Rogers,Best,35,99985300,E
Heidi,Collier,Smith,56,57169854,V
Heather,Lawrence,Gates,64,32769241,E
Andrew,Jones,Howell,19,27800084,E
Madison,Barber,Vance,19,56754913,E
Suzanne,Frank,Allen,26,50706378,V
Jonathan,Simpson,Adams,35,76630756,V
Kimberly,Hall,Haas,64,93103211,V
Andrea,Howell,Taylor,50,57906334,E
Rebecca,Garcia,Mills,26,94156581,E
Aaron,Mendez,Thompson,25,52214995,V
Carmen,Frazier,Morgan,22,25802339,V
Stephen,Sharp,Miller,44,36642931,V
Mark,Strickland,Sweeney,25,23398091,V
Joseph,Tanner,Wright,41,74395682,V
Sean,Hernandez,Martinez,37,70729462,V
Kristin,Carlson,Cain,28,92585415,E
Kari,Coleman,May,45,36625199,E
Laura,Kim,Dominguez,29,37289413,V
Kelsey,Wilson,Marshall,58,50386824,V
Mindy,Lindsey,Moore,19,37658290,V
Joseph,Turner,Lopez,54,16502974,V
Katherine,Long,Goodwin,28,44591632,V
Ronald,Ryan,Collins,47,37568177,E
James,Rogers,Wallace,29,56584657,E
Andrew,Martinez,Jones,36,88010111,E
Cameron,Baker,Foster,47,13988772,E
Albert,Watts,Owens,29,22284121,V
Philip,Anderson,Martin,51,56413450,V
Aaron,Cervantes,Salinas,55,68395423,E
Rachael,Richardson,Barker,22,94742414,V
Geoffrey,Erickson,Williamson,35,49969406,V
Angela,Alvarez,Watkins,34,61856055,V
Amy,Aguilar,Maynard,53,68209603,E
Tanya,Knight,Hicks,48,69805043,E
Kristin,Johnson,King,32,53125657,E
Dustin,Chen,Fields,41,38957275,E
Suzanne,Mccoy,Holland,24,51346510,V
Jennifer,Johnson,Sellers,22,11145822,V
Christine,Peterson,Foster,56,88148901,E
Toni,Schultz,Sanchez,53,67653025,V
Darren,Riley,Oconnell,25,22973737,V
Jackie,Duncan,Robertson,63,31633063,E
Felicia,Hines,Adams,19,93499351,E
Tyler,Watson,Ellis,32,86963179,V
Brooke,Weaver,Cunningham,46,87705804,E
David,Gaines,Contreras,62,65197741,V
Victoria,Mann,Rice,60,58763464,E
Ann,Mack,Neal,57,41482289,E
Elizabeth,Nguyen,Townsend,43,57398733,E
Michael,Duran,Gonzalez,40,10928907,V
Philip,Buck,Kennedy,35,51758316,E
Tammy,Green,Mathis,47,86859150,V
Adriana,Willis,Anderson,37,74106279,V
Deborah,Young,Campbell,47,38235951,E
Shannon,Simmons,Curry,29,50746877,E
Tammy,Liu,Dalton,26,98251151,V
Amanda,Austin,Lindsey,32,48530673,E
Marie,Jackson,Williams,62,46764284,V
Teresa,Marquez,Calderon,48,49416927,E
Laura,Mathis,Roberts,22,99176198,E
Amy,Ward,Gomez,44,55905445,V
